ID,Age,Gender,BUS,BUS_history,Work_status,Work_status_gender,BUSsuccess,RevenueBest,MarketValBest,Operate_longest,AccGoals,BUS_current,HPS,SV,MV,Ex,ZRE_HPS,ZRE_HPS2,ZRE_SV,ZRE_SV2,ZRE_MV,ZRE_MV2,ZRE_Ex,ZRE_Ex2
H057,27,0,0,0,2,2, , , ,2, ,-1,20,9,7,3,-0.078066665,0.006094404,-0.2715264,0.073726586,0.131465611,0.017283207,0.021623248,0.000467565
L042,31,0,1,0,2,2,3, , , , ,1,12,8,2,1,-1.075498402,1.156696813,-0.495444386,0.245465139,-1.255507374,1.576298766,-0.948135735,0.898961372
L199,33,0,1,0,2,2,3, , , , ,1,12,8,2,1,-1.037085988,1.075547347,-0.46323696,0.214588481,-1.218850188,1.48559578,-0.927098958,0.859512477
H052,26,0,1,0,2,2, , , ,2, ,0,26,13,8,3,0.708419551,0.50185826,0.865701234,0.749438627,0.40519449,0.164182574,0.011104859,0.000123318
L201,38,0,1,1,2,2,3, , ,4,0,0,12,8,2,1,-0.941054954,0.885584426,-0.382718397,0.146473371,-1.127207222,1.270596121,-0.874507014,0.764762518
L056,67,0,1,1,2,2,3, , , , ,1,12,8,2,1,-0.384074953,0.147513569,0.08428927,0.007104681,-0.59567802,0.354832303,-0.569473744,0.324300345
L147,36,0, , ,2,2, , , , , , ,12,8,2,1,-0.979467368,0.959356324,-0.414925822,0.172163438,-1.163864408,1.35458036,-0.895543792,0.801998683
L037,39,0, , ,2,2, , , , , , ,12,8,2,1,-0.921848747,0.849805112,-0.366614684,0.134406327,-1.108878629,1.229611813,-0.863988626,0.746476346
L071,41,0, , ,2,2, , , , , , ,12,8,2,1,-0.883436333,0.780459754,-0.334407259,0.111828215,-1.072221442,1.149658821,-0.842951849,0.710567819
L164,49,0, , ,2,2, , , , , , ,12,8,2,1,-0.729786677,0.532588595,-0.205577558,0.042262132,-0.925592697,0.856721841,-0.75880474,0.575784633
L171,50,0, , ,2,2, , , , , , ,12,8,2,1,-0.710580471,0.504924605,-0.189473845,0.035900338,-0.907264104,0.823128154,-0.748286351,0.559932463
L180,40,0,1,0,3,4,4,170000, , , ,1,24,12,11,1,0.708742307,0.502315658,0.802820375,0.644520554,1.537967209,2.365343135,-0.853470237,0.728411446
S080,34,0,1,1,3,4,4,1000000, ,4,1,0,9,4,5,0,-1.420725993,2.018462348,-1.600464594,2.561486917,-0.32434918,0.10520239,-1.422496838,2.023497253
L087,55,0,0,-1,3,4, , , , , ,-1,11,9,1,1,-0.748831506,0.560748625,0.179377555,0.032176307,-1.107678609,1.226951902,-0.695694408,0.483990709
L075,60,0,0,-1,3,4, , , , , ,-1,14,7,6,0,-0.24995426,0.062477132,-0.316769555,0.100342951,0.444251714,0.197359586,-1.149018733,1.320244049
L002,47,0,0,-1,3,4, , , , , ,-1,22,9,7,6,0.574621614,0.33019,0.050547853,0.002555085,0.498037475,0.248041326,1.749739826,3.061589458
L028,58,0,1,1,3,4,4, , ,2,1,1,4,2,1,0,-1.63118738,2.660772268,-1.790641164,3.206395777,-1.05269283,1.108162194,-1.17005551,1.369029897
L188,32,0, , ,3,4, , , , , , ,12,8,2,1,-1.056292195,1.115753202,-0.479340673,0.229767481,-1.237178781,1.530611336,-0.937617346,0.879126288
L167,55,0,1,0,4,6,3,60000, ,3,0,1,11,6,4,1,-0.748831506,0.560748625,-0.685620955,0.470076094,-0.231506195,0.053595118,-0.695694408,0.483990709
L098,48,0,1,0,4,6,3,70000, ,3,1,1,8,2,4,1,-1.286121167,1.654107655,-1.95167829,3.809048149,-0.359806347,0.129460607,-0.769323128,0.591858076
L015,47,0,1,0,4,6,3,150000, ,4, ,1,8,4,3,0,-1.305327374,1.703879552,-1.39111633,1.935204643,-0.670192412,0.449157869,-1.285757785,1.653173083
L088,37,0,1,0,4,6,4,150000, ,2,1,1,29,10,9,8,1.322534039,1.749096285,0.177843564,0.031628333,0.898866486,0.80796096,2.656388477,7.056399739
L198,32,0,1,0,4,6,4,3500000, , , ,1,12,8,2,1,-1.056292195,1.115753202,-0.479340673,0.229767481,-1.237178781,1.530611336,-0.937617346,0.879126288
L027,48,0,1,0,4,6,4,10000000,20000000,4,0,1,18,7,10,1,0.056699539,0.003214838,-0.510014107,0.26011439,1.392538482,1.939163425,-0.769323128,0.591858076
H083,45,0,0,-1,4,6, , , , , ,-1,18,7,6,4,-0.000919082,8.45E-07,-0.558325245,0.311727079,0.169322817,0.028670216,0.716870512,0.51390333
H028,36,0,0,-1,4,6, , , , , ,-1,20,11,5,4,0.094789197,0.008984992,0.450072687,0.202565424,-0.287691993,0.082766683,0.622205014,0.387139079
S049,55,0,0,-1,4,6, , , , , ,-1,21,9,9,2,0.593989199,0.352823169,0.179377555,0.032176307,1.228781163,1.509903147,-0.189778139,0.036015742
S097,45,0,1,0,4,6,4, , ,4,1,0,18,15,1,1,-0.000919082,8.45E-07,1.748337448,3.056683831,-1.290964541,1.666589447,-0.800878294,0.641406042
H026,48,0,1,0,4,6, , , ,1, ,0,18,6,8,3,0.056699539,0.003214838,-0.798346944,0.637357843,0.808423539,0.653548619,0.242509409,0.058810813
H029,46,0,1,0,4,6, , , ,2, ,0,22,10,9,2,0.555415408,0.308486275,0.322776977,0.104184977,1.063823825,1.13172113,-0.284443637,0.080908183
H058,54,0,1,0,4,6, , , , , ,0,29,13,11,3,1.649039557,2.719331461,1.316605188,1.733449222,1.794567513,3.220472559,0.305619741,0.093403426
H066,56,0,1,1,4,6, , , ,2, ,0,21,9,7,5,0.613195406,0.376008606,0.195481267,0.038212926,0.662994813,0.439562122,1.338489055,1.79155295
H010,30,0,1,1,4,6, , , ,4, ,0,27,15,9,2,0.919526449,0.845528891,1.506781758,2.270391266,0.770566334,0.593772475,-0.452737855,0.204971565
L135,32,0,1,1,4,6, , , , , , ,12,8,2,1,-1.056292195,1.115753202,-0.479340673,0.229767481,-1.237178781,1.530611336,-0.937617346,0.879126288
L128,48,0,1,1,4,6, , , , , , ,12,8,2,1,-0.748992884,0.560990341,-0.221681271,0.049142586,-0.94392129,0.890987402,-0.769323128,0.591858076
L069,50,0,1,1,4,6, , , , , , ,12,8,2,1,-0.710580471,0.504924605,-0.189473845,0.035900338,-0.907264104,0.823128154,-0.748286351,0.559932463
L048,52,0,1,1,4,6, , , , , , ,12,8,2,1,-0.672168057,0.451809896,-0.15726642,0.024732727,-0.870606917,0.757956405,-0.727249574,0.528891942
L203,57,0,1,1,4,6, , , , , , ,12,8,2,1,-0.576137022,0.331933868,-0.076747857,0.005890234,-0.778963952,0.606784838,-0.67465763,0.455162918
H027,59,0,1,1,4,6, , , , , , ,22,9,7,5,0.805096098,0.648179726,0.243792405,0.059434737,0.717980593,0.515496131,1.370044221,1.877021167
S068,56,0,1,1,5,8,5,360,5000000,4,1,0,38,18,11,6,2.895990606,8.386761591,2.790476797,7.786760753,1.831224699,3.3533839,1.844405324,3.401830997
L205,38,0,1,0,5,8,3,40000, ,3,0,1,32,18,5,7,1.744586458,3.043581909,2.500609969,6.253050217,-0.251034807,0.063018474,2.160990597,4.669880359
L178,34,0,1,1,5,8,3,130000, , , ,1,12,8,2,1,-1.017879781,1.036079249,-0.447133248,0.199928141,-1.200521594,1.441252099,-0.916580569,0.840119939
L133,30,0,1,1,5,8,4,200000,500000,2,0,2,32,15,9,7,1.590936802,2.531079909,1.506781758,2.270391266,0.770566334,0.593772475,2.076843488,4.313278872
S045,37,0,1,1,5,8,5,200000,14000000,3,1,0,35,18,9,7,2.128226463,4.529347876,2.484506256,6.172771338,0.898866486,0.80796096,2.150472208,4.624530718
