Record,exclude,Countytype,Age,Gender,BUS,BUS_history,EI,NascEntr,BUS_current,BRT,HPSs,RES_HPSs,ZRE_HPSs,ZHPSs,ZBRT
34,0,1,73,1,0,-1,10,0,-1,2.5,3.538461538,0.141479304,0.226451468,-0.024789165,0.095743316
35,0,3,51,1,1,0,15,0,1,3,4,0.415266446,0.664674577,0.700351958,0.65401944
36,0,2,89,0,1,0,9,0,1,2.125,3.076923077,-0.185597279,-0.297066604,-0.749930288,-0.322963777
37,0,1,40,1,1,1,14,0,1,2.875,3.307692308,-0.370916906,-0.593688799,-0.387359726,0.514450409
38,0,1,56,1,1,0,11,0,1,2.125,2.923076923,-0.618985877,-0.990747458,-0.991643995,-0.322963777
39,0,1,46,1,1,1,19,0,1,2.875,3.692307692,0.064903384,0.103884216,0.216924543,0.514450409
40,0,3,25,1,1,1,24,1,2,4,4.923076923,1.116455446,1.786996178,2.150634204,1.770571688
41,0,1,39,1,1,0,10,0,1,3.5,3.538461538,-0.148681826,-0.23797981,-0.024789165,1.212295564
42,0,3,60,0,1,1,24,0, ,3.625,4.692307692,1.182296962,1.892381965,1.788063642,1.351864595
43,0,2,78,0,1,0,9,0,0,1,3.230769231,-0.125626784,-0.20107796,-0.50821658,-1.579085055
44,0,3,47,0,1,0,7,0,1,2.625,3.307692308,-0.313262384,-0.501407096,-0.387359726,0.235312347
45,0,1,45,1,1,0,17,0,1,3,3.615384615,-0.020553844,-0.032898438,0.096067689,0.65401944
46,0,3,66,1,0,-1,14,0,-1,3.375,4.076923077,0.620201786,0.99269364,0.821208812,1.072726533
47,0,3,72,0,0,-1,5,0,-1,2.125,3.615384615,0.207783695,0.332578134,0.096067689,-0.322963777
49,0,1,43,0,0,-1,11,0,-1,1.75,4.538461538,0.883370243,1.413920504,1.546349935,-0.74167087
50,0,1,55,0,0,-1,9,0,-1,2.25,2.5,-1.052681485,-1.684919713,-1.656356691,-0.183394746
51,0,2,77,0,1,1,17,1,2,1.5,3.538461538,0.173531372,0.27775394,-0.024789165,-1.020808932
52,0,1,50,1,0,-1,10,0,-1,2.25,3.692307692,0.099039987,0.15852319,0.216924543,-0.183394746
53,0,1,64,1,0,-1,12,0,-1,3.25,3.461538462,-0.012251131,-0.019609134,-0.145646019,0.933157502
54,0,2,53,0,0,-1,12,0,-1,3.25,4.153846154,0.584096367,0.934903384,0.942065666,0.933157502
56,0,1,62,1,0,-1,8,0,-1,1,4.615384615,1.124526721,1.799915043,1.667206788,-1.579085055
57,0,1,75,1,1,0,7,0,1,1.125,4.076923077,0.697009144,1.115631331,0.821208812,-1.439516025
