ID,Age,Gender,BUS,SerialEntr,BUS_history,Work_status,RevenueBest,MarketValBest,HPS,SV,MV,Ex,ZHPS,ZHPS2,ZSV,ZSV2,ZMV,ZMV2,ZEx,ZEx2,ZRE_HPS,ZRE_HPS2,ZRE_SV,ZRE_SV2,ZRE_MV,ZRE_MV2,ZRE_Ex,ZRE_Ex2
L209,38,1,1,0,0,4,300000, ,12,8,2,1,-1.11,1.22,-0.60,0.36,-1.31,1.71,-0.84,0.71,-1.24,1.55,-0.70,0.49,-1.42,2.02,-0.90,0.81
L214,65,1,1,1,1,3,5000000, ,12,8,2,1,-1.11,1.22,-0.60,0.36,-1.31,1.71,-0.84,0.71,-0.59,0.35,-0.25,0.06,-0.83,0.69,-0.34,0.11
S002,29,1,1,1,1,5,250000,280000,20,14,4,1,-0.13,0.02,0.90,0.81,-0.75,0.56,-0.84,0.71,-0.45,0.20,0.67,0.45,-1.05,1.10,-1.09,1.19
S005,59,1,1,0,0,5,2500000,600000,21,12,6,2,-0.01,0.00,0.40,0.16,-0.20,0.04,-0.36,0.13,0.40,0.16,0.67,0.45,0.17,0.03,0.03,0.00
S024,29,1,1,1,1,5,0,0,24,13,7,4,0.36,0.13,0.65,0.42,0.08,0.01,0.60,0.36,0.05,0.00,0.41,0.17,-0.20,0.04,0.39,0.15
S029,26,1,1,0,0,4,2000,3800,20,10,5,3,-0.13,0.02,-0.10,0.01,-0.47,0.22,0.12,0.01,-0.52,0.27,-0.40,0.16,-0.83,0.69,-0.17,0.03
S041,49,0,1,0,0,1,17000,17000,9,3,4,0,-1.47,2.17,-1.85,3.41,-0.75,0.56,-1.32,1.75,-1.32,1.74,-1.60,2.56,-0.65,0.42,-1.42,2.02
S045,37,0,1,1,1,5,200000,14000000,35,18,9,7,1.70,2.88,1.90,3.61,0.64,0.41,2.04,4.16,1.67,2.77,2.00,4.01,0.51,0.26,1.77,3.15
S046,46,1,1,1,1,5,20000000,20000000,26,15,5,4,0.60,0.36,1.15,1.32,-0.47,0.22,0.60,0.36,0.71,0.51,1.21,1.46,-0.40,0.16,0.74,0.55
S050,51,1,1,1,1,0,0,0,20,8,7,4,-0.13,0.02,-0.60,0.36,0.08,0.01,0.60,0.36,0.08,0.01,-0.48,0.23,0.28,0.08,0.84,0.71
S052,32,1,1,1,1,5,10000,1000000,25,9,10,3,0.48,0.23,-0.35,0.12,0.91,0.84,0.12,0.01,0.25,0.06,-0.55,0.30,0.72,0.52,-0.04,0.00
S054,26,1,1,0,0,5,0, ,15,9,3,2,-0.74,0.55,-0.35,0.12,-1.03,1.06,-0.36,0.13,-1.15,1.33,-0.65,0.42,-1.40,1.96,-0.66,0.44
S058,39,1,1,1,1,5,2000000,50000000,22,13,5,3,0.11,0.01,0.65,0.42,-0.47,0.22,0.12,0.01,0.04,0.00,0.58,0.34,-0.55,0.30,0.10,0.01
S062,65,1,1,0,0,4,35, ,24,8,12,2,0.36,0.13,-0.60,0.36,1.47,2.16,-0.36,0.13,0.92,0.84,-0.25,0.06,2.01,4.03,0.15,0.02
S068,56,0,1,1,1,5,360,5000000,38,18,11,6,2.06,4.26,1.90,3.61,1.19,1.42,1.56,2.43,2.50,6.25,2.32,5.40,1.49,2.23,1.68,2.81
S069,34,1,1,1,1,5,0,0,29,12,9,5,0.97,0.93,0.40,0.16,0.64,0.41,1.08,1.17,0.80,0.64,0.24,0.06,0.48,0.23,0.98,0.97
